"sep=,"
path,Eact,Gact,EDA_pauli,EDA_bonding,EDA_elstat,EDA_oi,AA_mulliken,AA_eldens,AA_hirshfeld,AA_voronoi,HOMO_coeff,HOMO_energy,LUMO_coeff,LUMO_energy
achiral_catalyst.Et_m-HOPh_BF3.vacuum\sub_cat_complex,-0.0004485258127253644,0.01771840806976588,0.1703462695872417,-0.05828412218385442,-0.11612906232090836,-0.10576517966614159,0.1898374990653675,127.1287902448311,0.17385470575467332,0.4865292659721998,0.019221598830580045,-0.22849860516303783,0.5828461050786107,-0.14437662923083
achiral_catalyst.Et_m-HOPh_I2.vacuum\sub_cat_complex,0.0010775930855251303,0.021776624185692484,0.04151329444849945,-0.0188818059234327,-0.029311174407439466,-0.023749857247202563,0.17105530290226945,127.14622655193901,0.17103796767721746,0.47638545643443475,0.01821946694748765,-0.19899233029363536,0.5782973075225755,-0.12721090483704436
achiral_catalyst.Et_m-HOPh_SnCl4.vacuum\sub_cat_complex,-0.0011809023967073173,0.017862355994926915,0.1027210971326063,-0.038671978945432374,-0.07560689606725646,-0.050011265113361285,0.19288369304150965,127.13772261870014,0.17325188371972444,0.48259121300961283,0.024907046971049358,-0.22827543872995903,0.5847319714674991,-0.14256185313879677
achiral_catalyst.Et_m-HOPh_TiCl4.vacuum\sub_cat_complex,-0.001379438126202892,0.014846529161661515,0.10938692810468165,-0.04446361893973485,-0.08582372657616588,-0.05162533636384165,0.18702818476891547,127.1405359097829,0.1732406789733456,0.48836295828689025,0.028487346286788298,-0.22890714097026693,0.43188153261212464,-0.15245189496009826
achiral_catalyst.Et_m-HOPh_ZnCl2.vacuum\sub_cat_complex,-0.002488316106354027,0.01658539589606889,0.09343586871305218,-0.041301415956635515,-0.08019793231795802,-0.04468165202039934,0.1752581180875472,127.14099256083189,0.1679276799271885,0.47273747766858376,0.07989206448687712,-0.2247714308968707,0.5879216880018382,-0.14002202679231307
achiral_catalyst.Et_p-HOPh_AlF3.vacuum\sub_cat_complex,-0.0015707493706775821,0.016221322344792455,0.10293705267475545,-0.08569456365732639,-0.10758811436673454,-0.07327603838486135,0.16018436174987993,127.12437138071859,0.1755911298484769,0.46782008009193543,0.10243111532771085,-0.23004845141244284,0.5939410056285349,-0.1438290270890252
achiral_catalyst.Et_p-HOPh_BF3.vacuum\sub_cat_complex,-0.0008961874341135712,0.01968443065376757,0.17328349290552741,-0.06017897326076358,-0.11857007239831319,-0.10819575227381412,0.1851756181339148,127.12154088159572,0.1742549801187625,0.48356024885336923,0.12110152135311701,-0.22478979519152648,0.5899717557685659,-0.13616836964484497
achiral_catalyst.Et_p-HOPh_I2.vacuum\sub_cat_complex,0.00048647493380915563,0.02173513545429362,0.04261839385283887,-0.01911981859625543,-0.030002271150920024,-0.02451822390215818,0.1653315663794066,127.13670139618658,0.1716167818903176,0.4698053816281025,0.02012364226562179,-0.19314719597914348,0.5865975122911782,-0.11969039199389117
achiral_catalyst.Et_p-HOPh_SnCl4.vacuum\sub_cat_complex,-0.0017848183843032217,0.01733330469556993,0.10896368123104691,-0.04054628795723639,-0.080411371890591,-0.05348608010161584,0.18640257727750065,127.12753130825334,0.17431615097938347,0.4799666799907736,0.12227020191070509,-0.22536013514511272,0.5911719499568673,-0.13584300956050446
achiral_catalyst.Et_p-HOPh_TiCl4.vacuum\sub_cat_complex,-0.0017637349667030122,0.016674554599162228,0.1132793213461831,-0.04648349183454854,-0.08918655409428311,-0.05429882566908567,0.18139022275058814,127.13302570857013,0.17453577392379582,0.4809807710097189,0.12681543786772084,-0.22553728217404434,0.4278739874768321,-0.14615107076172007
achiral_catalyst.Et_p-HOPh_ZnCl2.vacuum\sub_cat_complex,-0.001243197897291104,0.01762925954500716,0.09767506447899302,-0.04496233547482572,-0.08483613033399706,-0.047884407235238374,0.16590451090814717,127.12951257996228,0.17348352472883044,0.46832063781897926,0.12356892571044378,-0.22213414460110725,0.5930246120406417,-0.13283926648953862
achiral_catalyst.Et_Bz_AlF3.vacuum\sub_cat_complex,-0.0028742294399206614,0.014133010700988713,0.09741706547986206,-0.07827522730791565,-0.10100266762614751,-0.06671225812003206,0.18986801337069537,127.14653987080769,0.05477633531556669,0.48465701824874285,0.03786296680370699,-0.24189330159005937,0.6493280506666034,-0.1465068958938294
achiral_catalyst.Et_Bz_BF3.vacuum\sub_cat_complex,-0.002412719106558825,0.016611855097560912,0.156919904581549,-0.05193641590556304,-0.1071596934370973,-0.09515011315372006,0.19307858574308323,127.1445107030824,0.05266170970189221,0.4900024963947964,0.04908174743582359,-0.2386153478666341,0.6549708015941781,-0.13565379874719768
achiral_catalyst.Et_Bz_I2.vacuum\sub_cat_complex,-0.0006890803101819998,0.01867010309738326,0.03824073363540548,-0.01720976176180589,-0.027259451539919155,-0.021406715232324867,0.16751287021396521,127.16010280322466,0.04858315553886694,0.47520161224085555,0.013086981453505621,-0.19716062438525336,0.048710056622215704,-0.12404604373067617
achiral_catalyst.Et_Bz_SnCl4.vacuum\sub_cat_complex,0.00025478936548761766,0.019882753549811838,0.09600499344869245,-0.03561458674264725,-0.07010351317455843,-0.04543974252941459,0.18390238252524593,127.1513995673463,0.05057255244481684,0.4858113291289068,0.05382444701333436,-0.2367327681740604,0.15338307955456376,-0.14017106500530035
achiral_catalyst.Et_Bz_TiCl4.vacuum\sub_cat_complex,-0.0024135108104079706,0.015512632662088244,0.10507781111481748,-0.042051579099870756,-0.08191395041637861,-0.04823881019600042,0.17586068949456557,127.15495669617613,0.050756892148964505,0.48432708714033534,0.05270253948061419,-0.23627382170025688,0.3532376225816371,-0.15037720508423252
achiral_catalyst.Et_Bz_ZnCl2.vacuum\sub_cat_complex,-0.0026410420906870513,0.0166834528948403,0.08670812913508444,-0.03706342887912854,-0.07463708839918581,-0.04001983484450854,0.16979445039883334,127.15381093563823,0.05128841201058831,0.4712806444918951,0.010756859068998145,-0.2344563142959818,0.6617215614040377,-0.1309805607383165
achiral_catalyst.NMe2_tBu_AlF3.vacuum\sub_cat_complex,0.0007935077999885465,0.02115216815692289,0.10770674400568453,-0.0945821253743428,-0.11811920332669956,-0.07406333567618496,0.03531032500986875,127.11366100180359,0.0332079340463054,0.4999402383838998,0.4249703344393917,-0.25563341293213604,0.6650062142707364,-0.09588017144421689
achiral_catalyst.NMe2_tBu_BF3.vacuum\sub_cat_complex,0.001885031163662454,0.023651309167043166,0.1880317807439048,-0.06919630695385529,-0.1315435322916585,-0.11813993852363214,0.07567339506196635,127.1156676318001,0.04365348467901409,0.5111191964402844,0.3421773909974219,-0.2493438542584904,0.688878033556967,-0.09260490873492926
achiral_catalyst.NMe2_tBu_I2.vacuum\sub_cat_complex,0.007357076328040613,0.028190499379163292,0.046031453553857016,-0.02208149467885226,-0.032644899994579646,-0.02474987921691925,0.056980314132575316,127.12540330206726,0.03301964117113543,0.4942540408256222,0.09751427546697936,-0.19131842079213984,0.03675648188110382,-0.11789911617575878
achiral_catalyst.NMe2_tBu_SnCl4.vacuum\sub_cat_complex,0.0038777547664352596,0.02414256818588356,0.12731178743376248,-0.050524712857591074,-0.09517449201268846,-0.0627188288278749,0.0518829637482634,127.11386866092626,0.034323870503008225,0.49466025310963335,0.07495255187725257,-0.24294597927739722,0.08632689935453991,-0.1319419519005173
achiral_catalyst.NMe2_tBu_TiCl4.vacuum\sub_cat_complex,0.00553975341139612,0.025991287218696257,0.12452752076516224,-0.055459835416122844,-0.10075328926137672,-0.06060450570555321,0.07572429624318033,127.11909458046745,0.03381551931332294,0.5021214362985416,0.12415046693732021,-0.2377636955906701,0.12794386675997943,-0.1363915823368984
achiral_catalyst.NMe2_tBu_ZnCl2.vacuum\sub_cat_complex,0.002541329509807788,0.02526042166661213,0.10267944253842487,-0.050467101394075536,-0.09023260300097036,-0.048339586263097145,0.00619438015929763,127.11647358203818,0.03384757060922439,0.49580089318777665,0.0025329338767338875,-0.22833198806915286,0.7227268462216505,-0.08179487023909802
achiral_catalyst.NMe2_Ph_AlF3.vacuum\sub_cat_complex,0.003815449462504006,0.023231930741441253,0.10829997278422804,-0.09326302843534655,-0.1174980957207481,-0.07517970241855142,0.06741522877926176,127.10773051375784,0.047622789444460634,0.4960144244783673,0.22184634401346104,-0.23027342209045806,0.5975381559655656,-0.11902024700943925
achiral_catalyst.NMe2_Ph_BF3.vacuum\sub_cat_complex,-0.0013967517143660402,0.01832576232328087,0.1904048868245081,-0.06908132113067914,-0.13216453826029806,-0.12009297295644408,0.09524980688408391,127.10732676129415,0.047116076250061756,0.5172873828979405,0.2458332008512718,-0.22641753504700063,0.5864529955108426,-0.11412658661302537
achiral_catalyst.NMe2_Ph_I2.vacuum\sub_cat_complex,0.005522760893049927,0.023122006275105633,0.04476753315942324,-0.020972713589880874,-0.03206599806998156,-0.024607389199215245,0.07821953086755329,127.12457217757884,0.04529949762032115,0.5020790158235449,0.053745919310933386,-0.19139061869860577,0.0662437540609481,-0.11755279988831319
